"vote","prtvede1","prtvede2","gndr","agea"
"Yes","Social Democratic Party (SPD)","The Greens","Male",76
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",53
"No",NA,NA,"Male",33
"Yes",NA,NA,"Male",59
"No",NA,NA,"Male",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",62
"Yes","The Greens","The Greens","Male",57
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",63
"No",NA,NA,"Female",67
"No",NA,NA,"Male",21
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",36
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",39
"Not eligible to vote",NA,NA,"Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",39
"No",NA,NA,"Male",88
"Yes","Other","Christian Democratic Union (CDU/CSU)","Male",71
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",78
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",69
"No",NA,NA,"Female",41
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",65
"No",NA,NA,"Female",27
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",34
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",59
"No",NA,NA,"Male",68
"Not eligible to vote",NA,NA,"Male",17
"Yes","The Greens","The Greens","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",29
"Yes","The Greens","The Left (Die Linke)","Male",34
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",21
"Yes",NA,NA,"Male",28
"Yes",NA,NA,"Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",33
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",71
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",83
"No",NA,NA,"Male",61
"Not eligible to vote",NA,NA,"Female",69
"Yes","The Greens","The Greens","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",67
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",30
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",29
"Not eligible to vote",NA,NA,"Male",50
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",38
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",53
"Yes",NA,NA,"Male",39
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",41
"Not eligible to vote",NA,NA,"Male",17
"Yes","Social Democratic Party (SPD)","The Greens","Male",42
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",77
"Not eligible to vote",NA,NA,"Male",17
"No",NA,NA,"Male",23
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",83
"Yes",NA,NA,"Female",66
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",58
"Yes",NA,NA,"Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","The Greens","The Greens","Male",39
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",36
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",21
"No",NA,NA,"Male",56
"No",NA,NA,"Female",77
"Yes","Social Democratic Party (SPD)",NA,"Female",57
"No",NA,NA,"Male",80
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",49
"Yes","The Greens","The Greens","Male",19
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",71
"Yes",NA,NA,"Female",52
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",48
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",58
"Yes","The Greens","Social Democratic Party (SPD)","Male",53
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",43
"Not eligible to vote",NA,NA,"Male",17
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes",NA,NA,"Male",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Male",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",70
"Not eligible to vote",NA,NA,"Male",17
"Yes","The Greens","The Greens","Female",51
"Yes","The Greens","Social Democratic Party (SPD)","Male",23
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",65
"Yes","The Greens","The Greens","Female",58
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",72
"Yes",NA,NA,"Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",48
"Yes",NA,NA,"Female",44
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",86
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,NA,"Female",90
"Yes",NA,NA,"Female",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",45
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Male",32
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",20
"Yes","Other","The Greens","Male",50
"No",NA,NA,"Male",51
"Yes",NA,"The Greens","Female",36
"Not eligible to vote",NA,NA,"Female",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",46
"No",NA,NA,"Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",53
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",48
"No",NA,NA,"Female",34
"Yes","Other","Other","Male",55
"No",NA,NA,"Female",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",61
"Not eligible to vote",NA,NA,"Male",58
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,"Social Democratic Party (SPD)","Male",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",59
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",26
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",37
"Not eligible to vote",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",48
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",25
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes","The Greens","The Greens","Female",25
