Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
1867,Ontario,ADDINGTON,Unknown,0,0
1867,Ontario,ADDINGTON,Unknown,0,0
1867,Ontario,ALGOMA,Conservative,250,47.26
1867,Ontario,ALGOMA,Unknown,241,45.56
1867,Ontario,ALGOMA,Unknown,38,7.18
1867,Ontario,BOTHWELL,Liberal,1333,52.13
1867,Ontario,BOTHWELL,Conservative,1224,47.87
1867,Ontario,BRANT NORTH,Liberal-Conservative,672,50.07
1867,Ontario,BRANT NORTH,Unknown,670,49.93
1867,Ontario,BRANT SOUTH,Liberal,1257,53.56
1867,Ontario,BRANT SOUTH,Unknown,1090,46.44
1867,Ontario,BROCKVILLE,Conservative,690,56.98
1867,Ontario,BROCKVILLE,Unknown,521,43.02
1867,Ontario,BRUCE NORTH,Conservative,862,50.29
1867,Ontario,BRUCE NORTH,Unknown,852,49.71
1867,Ontario,BRUCE SOUTH,Conservative,1777,52.17
1867,Ontario,BRUCE SOUTH,Unknown,1624,47.68
1867,Ontario,BRUCE SOUTH,Unknown,5,0.15
1867,Ontario,CARDWELL,Conservative,1155,51.72
1867,Ontario,CARDWELL,Unknown,1078,48.28
1867,Ontario,CARLETON,Liberal-Conservative,1087,51.94
1867,Ontario,CARLETON,Conservative,1006,48.06
1867,Ontario,CORNWALL,Liberal,451,60.46
1867,Ontario,CORNWALL,Unknown,295,39.54
1867,Ontario,DUNDAS,Liberal-Conservative,accl.,NA
1867,Ontario,DURHAM EAST,Conservative,1134,71.55
1867,Ontario,DURHAM EAST,Unknown,451,28.45
1867,Ontario,DURHAM WEST,Liberal,1337,58.95
1867,Ontario,DURHAM WEST,Unknown,931,41.05
1867,Ontario,ELGIN EAST,Conservative,1492,51.91
1867,Ontario,ELGIN EAST,Unknown,1382,48.09
1867,Ontario,ELGIN WEST,Conservative,970,55.88
1867,Ontario,ELGIN WEST,Unknown,766,44.12
1867,Ontario,ESSEX,Conservative,1439,50.12
1867,Ontario,ESSEX,Unknown,1432,49.88
1867,Ontario,FRONTENAC,Conservative,1242,64.19
1867,Ontario,FRONTENAC,Unknown,693,35.81
1867,Ontario,GLENGARRY,Liberal,accl.,NA
1867,Ontario,GRENVILLE SOUTH,Conservative,899,55.19
1867,Ontario,GRENVILLE SOUTH,Unknown,730,44.81
1867,Ontario,GREY NORTH,Liberal,1399,55.04
1867,Ontario,GREY NORTH,Unknown,1143,44.96
1867,Ontario,GREY SOUTH,Conservative,1560,50.21
1867,Ontario,GREY SOUTH,Unknown,1547,49.79
1867,Ontario,HALDIMAND,Liberal,1391,57.65
1867,Ontario,HALDIMAND,Unknown,1022,42.35
1867,Ontario,HALTON,Liberal,1422,52.45
1867,Ontario,HALTON,Unknown,1289,47.55
1867,Ontario,HAMILTON,Liberal,accl.,NA
1867,Ontario,HASTINGS EAST,Conservative,1110,70.84
1867,Ontario,HASTINGS EAST,Unknown,457,29.16
1867,Ontario,HASTINGS NORTH,Conservative,928,59.3
1867,Ontario,HASTINGS NORTH,Unknown,636,40.64
1867,Ontario,HASTINGS NORTH,Unknown,1,0.06
1867,Ontario,HASTINGS WEST,Conservative,773,71.18
1867,Ontario,HASTINGS WEST,Unknown,313,28.82
1867,Ontario,HURON NORTH,Liberal,1940,49.33
1867,Ontario,HURON NORTH,Unknown,1318,33.51
1867,Ontario,HURON NORTH,Unknown,675,17.16
1867,Ontario,HURON SOUTH,Liberal,1624,52.76
1867,Ontario,HURON SOUTH,Unknown,1453,47.21
1867,Ontario,HURON SOUTH,Unknown,1,0.03
1867,Ontario,KENT,Conservative,1524,51.64
1867,Ontario,KENT,Unknown,1427,48.36
1867,Ontario,KINGSTON,Liberal-Conservative,735,83.81
1867,Ontario,KINGSTON,Unknown,142,16.19
1867,Ontario,LAMBTON,Liberal,1999,60.39
1867,Ontario,LAMBTON,Conservative,1311,39.61
1867,Ontario,LANARK NORTH,Liberal-Conservative,accl.,NA
1867,Ontario,LANARK SOUTH,Conservative,accl.,NA
1867,Ontario,LEEDS NORTH AND GRENVILLE NORTH,Conservative,923,51.85
1867,Ontario,LEEDS NORTH AND GRENVILLE NORTH,Unknown,857,48.15
1867,Ontario,LEEDS SOUTH,Conservative,1393,50.53
1867,Ontario,LEEDS SOUTH,Unknown,1364,49.47
1867,Ontario,LENNOX,Conservative,1268,53.05
1867,Ontario,LENNOX,Unknown,1122,46.95
1867,Ontario,LINCOLN,Liberal-Conservative,accl.,NA
1867,Ontario,LONDON,Liberal-Conservative,1114,80.72
1867,Ontario,LONDON,Unknown,266,19.28
1867,Ontario,MIDDLESEX EAST,Liberal-Conservative,1896,51.92
1867,Ontario,MIDDLESEX EAST,Independent,1756,48.08
1867,Ontario,MIDDLESEX NORTH,Liberal,1605,64.74
1867,Ontario,MIDDLESEX NORTH,Unknown,874,35.26
1867,Ontario,MIDDLESEX WEST,Conservative,1063,50.45
1867,Ontario,MIDDLESEX WEST,Unknown,1044,49.55
1867,Ontario,MONCK,Liberal-Conservative,1126,56.38
1867,Ontario,MONCK,Unknown,871,43.62
1867,Ontario,NIAGARA,Conservative,300,54.55
1867,Ontario,NIAGARA,Unknown,250,45.45
1867,Ontario,NORFOLK NORTH,Conservative,1026,50.89
1867,Ontario,NORFOLK NORTH,Unknown,990,49.11
1867,Ontario,NORFOLK SOUTH,Liberal,1050,52.01
1867,Ontario,NORFOLK SOUTH,Unknown,969,47.99
1867,Ontario,NORTHUMBERLAND EAST,Liberal-Conservative,1607,66.02
1867,Ontario,NORTHUMBERLAND EAST,Unknown,827,33.98
1867,Ontario,NORTHUMBERLAND EAST,Unknown,0,0
1867,Ontario,NORTHUMBERLAND WEST,Conservative,accl.,NA
1867,Ontario,ONTARIO NORTH,Liberal,1628,54.45
1867,Ontario,ONTARIO NORTH,Liberal,1362,45.55
1867,Ontario,ONTARIO SOUTH,Liberal-Conservative,1292,51.37
1867,Ontario,ONTARIO SOUTH,Unknown,1223,48.63
1867,Ontario,OTTAWA (CITY OF),Liberal-Conservative,974,96.92
1867,Ontario,OTTAWA (CITY OF),Unknown,25,2.49
1867,Ontario,OTTAWA (CITY OF),Unknown,5,0.5
1867,Ontario,OTTAWA (CITY OF),Unknown,1,0.1
1867,Ontario,OTTAWA (CITY OF),Unknown,0,0
1867,Ontario,OTTAWA (CITY OF),Unknown,0,0
1867,Ontario,OXFORD NORTH,Liberal,accl.,NA
1867,Ontario,OXFORD SOUTH,Liberal,accl.,NA
1867,Ontario,PEEL,Conservative,1138,51.4
1867,Ontario,PEEL,Unknown,1076,48.6
1867,Ontario,PERTH NORTH,Liberal,1515,53.69
1867,Ontario,PERTH NORTH,Liberal-Conservative,1307,46.31
1867,Ontario,PERTH NORTH,Unknown,0,0
1867,Ontario,PERTH SOUTH,Liberal,1490,51.68
1867,Ontario,PERTH SOUTH,Unknown,1393,48.32
1867,Ontario,PETERBOROUGH EAST,Conservative,956,59.75
1867,Ontario,PETERBOROUGH EAST,Unknown,644,40.25
1867,Ontario,PETERBOROUGH WEST,Conservative,681,51.09
1867,Ontario,PETERBOROUGH WEST,Unknown,652,48.91
1867,Ontario,PRESCOTT,Liberal,1205,90.26
1867,Ontario,PRESCOTT,Unknown,130,9.74
1867,Ontario,PRINCE EDWARD,Liberal,1779,65.38
1867,Ontario,PRINCE EDWARD,Conservative,942,34.62
1867,Ontario,RENFREW NORTH,Conservative,613,53.77
1867,Ontario,RENFREW NORTH,Unknown,527,46.23
1867,Ontario,RENFREW SOUTH,Liberal,accl.,NA
1867,Ontario,RUSSELL,Conservative,1293,65.04
1867,Ontario,RUSSELL,Unknown,695,34.96
1867,Ontario,SIMCOE NORTH,Liberal,accl.,NA
1867,Ontario,SIMCOE SOUTH,Liberal-Conservative,1411,57.22
1867,Ontario,SIMCOE SOUTH,Unknown,1055,42.78
1867,Ontario,STORMONT,Liberal-Conservative,955,72.46
1867,Ontario,STORMONT,Unknown,363,27.54
1867,Ontario,TORONTO EAST,Conservative,1113,53.15
1867,Ontario,TORONTO EAST,Unknown,980,46.8
1867,Ontario,TORONTO EAST,Unknown,1,0.05
1867,Ontario,VICTORIA NORTH,Liberal,687,63.03
1867,Ontario,VICTORIA NORTH,Unknown,403,36.97
1867,Ontario,VICTORIA SOUTH,Liberal,1001,55.55
1867,Ontario,VICTORIA SOUTH,Unknown,801,44.45
1867,Ontario,WATERLOO NORTH,Liberal,accl.,NA
1867,Ontario,WATERLOO SOUTH,Liberal,1324,58.02
1867,Ontario,WATERLOO SOUTH,Unknown,958,41.98
1867,Ontario,WELLAND,Conservative,accl.,NA
1867,Ontario,WELLINGTON CENTRE,Liberal,accl.,NA
1867,Ontario,WELLINGTON NORTH,Liberal-Conservative,1493,54.02
1867,Ontario,WELLINGTON NORTH,Unknown,1271,45.98
1867,Ontario,WELLINGTON SOUTH,Liberal,963,59.63
1867,Ontario,WELLINGTON SOUTH,Unknown,652,40.37
1867,Ontario,WENTWORTH NORTH,Liberal,1154,51.36
1867,Ontario,WENTWORTH NORTH,Unknown,1093,48.64
1867,Ontario,WENTWORTH SOUTH,Liberal,1015,50.67
1867,Ontario,WENTWORTH SOUTH,Unknown,988,49.33
1867,Ontario,WEST TORONTO,Conservative,1477,58.5
1867,Ontario,WEST TORONTO,Independent Liberal,1048,41.5
1867,Ontario,YORK EAST,Liberal,1174,55.61
1867,Ontario,YORK EAST,Unknown,937,44.39
1867,Ontario,YORK NORTH,Liberal,accl.,NA
1867,Ontario,YORK WEST,Liberal-Conservative,810,73.17
1867,Ontario,YORK WEST,Unknown,297,26.83
1867,Ontario,YORK WEST,Unknown,0,0
1867,Quebec,ARGENTEUIL,Liberal-Conservative,693,53.8
1867,Quebec,ARGENTEUIL,Unknown,595,46.2
1867,Quebec,BAGOT,Conservative,1156,56.53
1867,Quebec,BAGOT,Unknown,889,43.47
1867,Quebec,BEAUCE,Liberal,1180,65.23
1867,Quebec,BEAUCE,Unknown,629,34.77
1867,Quebec,BEAUHARNOIS,Conservative,724,51.17
1867,Quebec,BEAUHARNOIS,Unknown,691,48.83
1867,Quebec,BELLECHASSE,Conservative,983,59.43
1867,Quebec,BELLECHASSE,Unknown,671,40.57
1867,Quebec,BERTHIER,Liberal,1131,50.81
1867,Quebec,BERTHIER,Unknown,1095,49.19
1867,Quebec,BONAVENTURE,Conservative,1018,69.63
1867,Quebec,BONAVENTURE,Unknown,444,30.37
1867,Quebec,BROME,Conservative,accl.,NA
1867,Quebec,CHAMBLY,Conservative,691,56.78
1867,Quebec,CHAMBLY,Unknown,526,43.22
1867,Quebec,CHAMPLAIN,Conservative,1449,82.61
1867,Quebec,CHAMPLAIN,Unknown,305,17.39
1867,Quebec,CHARLEVOIX,Conservative,999,52.3
1867,Quebec,CHARLEVOIX,Unknown,911,47.7
1867,Quebec,CHÂTEAUGUAY,Liberal,1013,63.35
1867,Quebec,CHÂTEAUGUAY,Unknown,586,36.65
1867,Quebec,CHICOUTIMI--SAGUENAY,Liberal,accl.,NA
1867,Quebec,COMPTON,Liberal-Conservative,accl.,NA
1867,Quebec,DORCHESTER,Conservative,accl.,NA
1867,Quebec,DRUMMOND--ARTHABASKA,Conservative,1135,50.53
1867,Quebec,DRUMMOND--ARTHABASKA,Unknown,1111,49.47
1867,Quebec,GASPÉ,Conservative,accl.,NA
1867,Quebec,HOCHELAGA,Liberal,1312,50.44
1867,Quebec,HOCHELAGA,Unknown,1289,49.56
1867,Quebec,HUNTINGDON,Liberal-Conservative,1280,73.23
1867,Quebec,HUNTINGDON,Unknown,468,26.77
1867,Quebec,IBERVILLE,Liberal,1035,67.25
1867,Quebec,IBERVILLE,Unknown,504,32.75
1867,Quebec,JACQUES CARTIER,Conservative,659,54.87
1867,Quebec,JACQUES CARTIER,Unknown,542,45.13
1867,Quebec,JOLIETTE,Liberal,918,51.57
1867,Quebec,JOLIETTE,Conservative,862,48.43
1867,Quebec,LAPRAIRIE,Conservative,750,71.91
1867,Quebec,LAPRAIRIE,Unknown,293,28.09
1867,Quebec,L'ASSOMPTION,Liberal-Conservative,898,57.45
1867,Quebec,L'ASSOMPTION,Unknown,665,42.55
1867,Quebec,LAVAL,Conservative,accl.,NA
1867,Quebec,LÉVIS,Liberal-Conservative,accl.,NA
1867,Quebec,L'ISLET,Conservative,464,92.06
1867,Quebec,L'ISLET,Unknown,40,7.94
1867,Quebec,LOTBINIÈRE,Liberal,accl.,NA
1867,Quebec,MASKINONGÉ,Conservative,702,55.45
1867,Quebec,MASKINONGÉ,Unknown,564,44.55
1867,Quebec,MÉGANTIC,Conservative,1000,57.7
1867,Quebec,MÉGANTIC,Unknown,733,42.3
1867,Quebec,MISSISQUOI,Conservative,1190,70.54
1867,Quebec,MISSISQUOI,Unknown,497,29.46
1867,Quebec,MONTCALM,Conservative,accl.,NA
1867,Quebec,MONTMAGNY,Conservative,accl.,NA
1867,Quebec,MONTMORENCY,Conservative,accl.,NA
1867,Quebec,MONTREAL CENTRE,Liberal,accl.,NA
1867,Quebec,MONTREAL EAST,Liberal-Conservative,2431,53.83
1867,Quebec,MONTREAL EAST,Liberal,2085,46.17
1867,Quebec,MONTREAL WEST,Liberal-Conservative,2675,51.91
1867,Quebec,MONTREAL WEST,Liberal,2478,48.09
1867,Quebec,NAPIERVILLE,Liberal,878,71.85
1867,Quebec,NAPIERVILLE,Unknown,344,28.15
1867,Quebec,NICOLET,Conservative,1070,68.2
1867,Quebec,NICOLET,Unknown,499,31.8
1867,Quebec,OTTAWA (COUNTY OF),Liberal-Conservative,accl.,NA
1867,Quebec,PONTIAC,Conservative,accl.,NA
1867,Quebec,PORTNEUF,Conservative,1027,58.82
1867,Quebec,PORTNEUF,Unknown,718,41.12
1867,Quebec,PORTNEUF,Unknown,1,0.06
1867,Quebec,QUEBEC COUNTY,Conservative,accl.,NA
1867,Quebec,QUEBEC EAST,Liberal,accl.,NA
1867,Quebec,QUEBEC WEST,Liberal-Conservative,accl.,NA
1867,Quebec,QUEBEC-CENTRE,Conservative,1291,99.46
1867,Quebec,QUEBEC-CENTRE,Unknown,5,0.39
1867,Quebec,QUEBEC-CENTRE,Unknown,2,0.15
1867,Quebec,RICHELIEU,Conservative,777,41.95
1867,Quebec,RICHELIEU,Unknown,625,33.75
1867,Quebec,RICHELIEU,Unknown,450,24.3
1867,Quebec,RICHMOND--WOLFE,Conservative,1137,55.74
1867,Quebec,RICHMOND--WOLFE,Unknown,903,44.26
1867,Quebec,RIMOUSKI,Conservative,1152,62.3
1867,Quebec,RIMOUSKI,Unknown,697,37.7
1867,Quebec,ROUVILLE,Liberal,1236,60
1867,Quebec,ROUVILLE,Unknown,824,40
1867,Quebec,SAINT MAURICE,Conservative,accl.,NA
1867,Quebec,SHEFFORD,Liberal,1317,57.06
1867,Quebec,SHEFFORD,Unknown,991,42.94
1867,Quebec,SHERBROOKE (TOWN OF),Liberal-Conservative,accl.,NA
1867,Quebec,SOULANGES,Conservative,729,60.8
1867,Quebec,SOULANGES,Unknown,470,39.2
1867,Quebec,ST. HYACINTHE,Liberal,1107,54.37
1867,Quebec,ST. HYACINTHE,Unknown,929,45.63
1867,Quebec,ST. JOHN'S,Liberal,696,53.7
1867,Quebec,ST. JOHN'S,Unknown,600,46.3
1867,Quebec,STANSTEAD,Liberal-Conservative,814,56.92
1867,Quebec,STANSTEAD,Unknown,616,43.08
1867,Quebec,TÉMISCOUATA,Conservative,accl.,NA
1867,Quebec,TERREBONNE,Conservative,accl.,NA
1867,Quebec,THREE RIVERS,Conservative,277,65.95
1867,Quebec,THREE RIVERS,Unknown,143,34.05
1867,Quebec,TWO MOUNTAINS,Conservative,accl.,NA
1867,Quebec,VAUDREUIL,Conservative,accl.,NA
1867,Quebec,VERCHÈRES,Liberal,831,52.9
1867,Quebec,VERCHÈRES,Unknown,740,47.1
1867,Quebec,YAMASKA,Liberal,797,51.19
1867,Quebec,YAMASKA,Conservative,760,48.81
1867,Quebec,HUNTINGDON,Liberal-Conservative,accl.,NA
1867,Quebec,MONTMORENCY,Conservative,766,99.61
1867,Quebec,MONTMORENCY,Unknown,3,0.39
1868,New Brunswick,RESTIGOUCHE,Liberal,353,53.57
1868,New Brunswick,RESTIGOUCHE,Conservative,306,46.43
1868,Ontario,LINCOLN,Liberal,720,85.71
1868,Ontario,LINCOLN,Unknown,120,14.29
1868,Quebec,MONTREAL WEST,Liberal-Conservative,accl.,NA
1868,Ontario,YORK WEST,Liberal,654,72.43
1868,Ontario,YORK WEST,Unknown,249,27.57
1868,Quebec,THREE RIVERS,Conservative,accl.,NA
1868,New Brunswick,YORK,Independent Liberal,accl.,NA
1868,Quebec,SAINT MAURICE,Conservative,679,61.84
1868,Quebec,SAINT MAURICE,Unknown,419,38.16
1868,New Brunswick,NORTHUMBERLAND,Liberal,1133,55.9
1868,New Brunswick,NORTHUMBERLAND,Unknown,894,44.1
1869,Ontario,WELLINGTON CENTRE,Liberal,accl.,NA
1869,Quebec,KAMOURASKA,Liberal,1149,50.98
1869,Quebec,KAMOURASKA,Conservative,1105,49.02
1869,Nova Scotia,RICHMOND,Conservative,560,62.71
1869,Nova Scotia,RICHMOND,Unknown,333,37.29
1869,Nova Scotia,YARMOUTH,Liberal,1220,67.11
1869,Nova Scotia,YARMOUTH,Unknown,598,32.89
1869,Nova Scotia,HANTS,Liberal-Conservative,1512,57.25
1869,Nova Scotia,HANTS,Liberal,1129,42.75
1869,Ontario,RENFREW SOUTH,Liberal,482,64.61
1869,Ontario,RENFREW SOUTH,Liberal,264,35.39
1869,Quebec,L'ISLET,Conservative,697,60.24
1869,Quebec,L'ISLET,Unknown,460,39.76
1869,Nova Scotia,COLCHESTER,Liberal-Conservative,1585,56.31
1869,Nova Scotia,COLCHESTER,Liberal,1230,43.69
1869,Quebec,HUNTINGDON,Liberal,accl.,NA
1869,Ontario,RENFREW NORTH,Liberal-Conservative,560,56
1869,Ontario,RENFREW NORTH,Liberal,440,44
1869,Ontario,LANARK SOUTH,Conservative,accl.,NA
1869,Quebec,BROME,Conservative,accl.,NA
1870,Ontario,FRONTENAC,Conservative,869,62.7
1870,Ontario,FRONTENAC,Unknown,517,37.3
1870,Nova Scotia,CUMBERLAND,Conservative,accl.,NA
1870,Nova Scotia,KINGS,Liberal,accl.,NA
1870,Quebec,MISSISQUOI,Liberal-Conservative,975,51.37
1870,Quebec,MISSISQUOI,Unknown,923,48.63
1870,Quebec,QUEBEC EAST,Conservative,1092,54.41
1870,Quebec,QUEBEC EAST,Unknown,915,45.59
1870,Quebec,BELLECHASSE,Liberal,accl.,NA
1870,Quebec,ST. HYACINTHE,Liberal,accl.,NA
1870,Nova Scotia,COLCHESTER,Liberal,1672,86.19
1870,Nova Scotia,COLCHESTER,Unknown,268,13.81
1870,Quebec,RICHELIEU,Independent Conservative,1194,58.44
1870,Quebec,RICHELIEU,Unknown,849,41.56
1870,New Brunswick,RESTIGOUCHE,Conservative,411,63.82
1870,New Brunswick,RESTIGOUCHE,Unknown,233,36.18
1871,Manitoba,LISGAR,Conservative,315,82.89
1871,Manitoba,LISGAR,Unknown,65,17.11
1871,Manitoba,MARQUETTE,Conservative,282,50
1871,Manitoba,MARQUETTE,Liberal,282,50
1871,Manitoba,SELKIRK,Independent Conservative,239,69.88
1871,Manitoba,SELKIRK,Unknown,103,30.12
1871,Manitoba,PROVENCHER,Conservative,172,85.57
1871,Manitoba,PROVENCHER,Liberal,29,14.43
1871,Ontario,HASTINGS EAST,Conservative,accl.,NA
1871,Ontario,ALGOMA,Conservative,accl.,NA
1871,Quebec,MONTCALM,Conservative,accl.,NA
1871,Quebec,COMPTON,Liberal-Conservative,accl.,NA
1871,Quebec,BROME,Conservative,accl.,NA
1871,British Columbia,VICTORIA DISTRICT,Liberal,accl.,NA
1871,British Columbia,VICTORIA DISTRICT,Liberal,accl.,NA
1871,British Columbia,NEW WESTMINSTER DISTRICT,Liberal-Conservative,125,83.89
1871,British Columbia,NEW WESTMINSTER DISTRICT,Unknown,24,16.11
1871,British Columbia,VANCOUVER ISLAND,Conservative,137,57.32
1871,British Columbia,VANCOUVER ISLAND,Unknown,102,42.68
1871,British Columbia,CARIBOO DISTRICT,Liberal-Conservative,accl.,NA
1871,British Columbia,YALE DISTRICT,Liberal,accl.,NA
1872,British Columbia,CARIBOO,Liberal-Conservative,accl.,NA
1872,British Columbia,NEW WESTMINSTER,Liberal-Conservative,accl.,NA
1872,British Columbia,VANCOUVER,Liberal-Conservative,accl.,NA
1872,British Columbia,VICTORIA,Liberal,402,44.97
1872,British Columbia,VICTORIA,Liberal,398,44.52
1872,British Columbia,VICTORIA,Unknown,94,10.51
1872,British Columbia,YALE,Conservative,43,69.35
1872,British Columbia,YALE,Unknown,19,30.65
1872,Manitoba,LISGAR,Conservative,273,68.08
1872,Manitoba,LISGAR,Unknown,128,31.92
1872,Manitoba,MARQUETTE,Liberal,393,67.29
1872,Manitoba,MARQUETTE,Conservative,115,19.69
1872,Manitoba,MARQUETTE,Liberal,71,12.16
1872,Manitoba,MARQUETTE,Unknown,5,0.86
1872,Manitoba,PROVENCHER,Liberal-Conservative,accl.,NA
1872,Manitoba,SELKIRK,Independent Conservative,258,80.63
1872,Manitoba,SELKIRK,Unknown,62,19.38
1872,Manitoba,SELKIRK,Unknown,0,0
1872,Manitoba,SELKIRK,Unknown,0,0
1872,New Brunswick,ALBERT,Liberal,847,53.1
1872,New Brunswick,ALBERT,Unknown,748,46.9
1872,New Brunswick,CARLETON,Liberal,accl.,NA
1872,New Brunswick,CHARLOTTE,Liberal-Conservative,1551,53.85
1872,New Brunswick,CHARLOTTE,Liberal,1329,46.15
1872,New Brunswick,CITY AND COUNTY OF ST. JOHN,Liberal,3249,42.14
1872,New Brunswick,CITY AND COUNTY OF ST. JOHN,Liberal,2204,28.59
1872,New Brunswick,CITY AND COUNTY OF ST. JOHN,Unknown,1771,22.97
1872,New Brunswick,CITY AND COUNTY OF ST. JOHN,Unknown,486,6.3
1872,New Brunswick,CITY OF ST. JOHN,Liberal-Conservative,1765,59.03
1872,New Brunswick,CITY OF ST. JOHN,Unknown,1225,40.97
1872,New Brunswick,GLOUCESTER,Liberal,1436,80.81
1872,New Brunswick,GLOUCESTER,Unknown,339,19.08
1872,New Brunswick,GLOUCESTER,Unknown,2,0.11
1872,New Brunswick,KENT,Liberal,1381,52.37
1872,New Brunswick,KENT,Liberal,1256,47.63
1872,New Brunswick,KING'S,Conservative,1507,46.98
1872,New Brunswick,KING'S,Unknown,1044,32.54
1872,New Brunswick,KING'S,Unknown,657,20.48
1872,New Brunswick,NORTHUMBERLAND,Independent,accl.,NA
1872,New Brunswick,QUEEN'S,Liberal,accl.,NA
1872,New Brunswick,RESTIGOUCHE,Conservative,593,77.82
1872,New Brunswick,RESTIGOUCHE,Unknown,144,18.9
1872,New Brunswick,RESTIGOUCHE,Unknown,25,3.28
1872,New Brunswick,SUNBURY,Liberal,accl.,NA
1872,New Brunswick,VICTORIA,Liberal-Conservative,1141,80.35
1872,New Brunswick,VICTORIA,Unknown,279,19.65
1872,New Brunswick,WESTMORLAND,Liberal,accl.,NA
1872,New Brunswick,YORK,Independent Liberal,accl.,NA
1872,Nova Scotia,ANNAPOLIS,Liberal,1129,52.56
1872,Nova Scotia,ANNAPOLIS,Conservative,1019,47.44
1872,Nova Scotia,ANTIGONISH,Liberal-Conservative,accl.,NA
1872,Nova Scotia,CAPE BRETON,Conservative,1240,30.3
